18	1	5	6	2.25	1	1.33333333333333	1.125	1.66666666666667	1.2	0	0	0	0.25	0.333333333333333	0	0.225548902195609	4	8	3	8	6	5	3
16	1	5	5	1.66666666666667	3	2	2	1.75	1.33333333333333	0	0	0	1	0	0	0.225548902195609	3	1	2	1	4	3	3
13	0	6	6	1.33333333333333	1.22222222222222	-99	0.833333333333333	1	0.75	0	0	-99	0	0	0	0.225548902195609	3	9	0	6	4	4	1
7	1	6	6	1.45454545454545	1.44444444444444	2	1	1	1	0	0	0	1	0.666666666666667	0.5	-0.774451097804391	11	9	5	3	3	2	3
7	1	6	6	3	3	2	2.5	1.5	3	0	0	0	1	0.5	1	0.225548902195609	1	1	1	2	2	1	3
6	0	2	3	1.5	1	2	-99	-99	-99	0	0	0	-99	-99	-99	-99	2	1	1	0	0	0	-99
8	1	6	6	1.33333333333333	3	1	3	3	3	0	0	0	0	0	1	-0.774451097804391	3	1	1	1	1	1	3
12	1	4	4	2	3	2.5	3	2	2	0	0	0	0	0	0	0.225548902195609	1	1	2	1	1	1	3
19	0	5	6	2.5	1.85714285714286	1.66666666666667	1.75	2	2	0	0	0	0	0	0	0.225548902195609	4	7	3	8	4	3	0
8	1	6	6	1.33333333333333	2	2.33333333333333	1	2	1.5	0	0	0	0	0	0	-0.774451097804391	6	2	3	1	1	2	2
10	1	3	4	2.42857142857143	2.16666666666667	2.125	2.33333333333333	1.4	1.66666666666667	0	0	0	0.166666666666667	0.2	0.333333333333333	0.225548902195609	7	6	8	6	5	3	0
13	0	6	6	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0	0	0	0	0	0	-99
12	1	4	4	3	3	3	-99	-99	-99	0	0	0	-99	-99	-99	-99	1	1	1	0	0	0	-99
5	0	2	3	2.2	1.8	1.6	-99	-99	-99	0	0	0	-99	-99	-99	-99	5	5	5	0	0	0	-99
3	1	6	6	1	1.33333333333333	1.16666666666667	1.66666666666667	1.125	1	0	0	0	0	0.125	0	0.225548902195609	3	3	6	3	8	4	1
2	0	6	6	-99	-99	1.2	-99	2	-99	-99	-99	0	-99	0	-99	-0.774451097804391	0	0	5	0	3	0	1
4	1	2	2	1.42857142857143	1.16666666666667	1.41666666666667	1.375	1	1.42857142857143	0	0	0	0	0.1	0	0.225548902195609	7	12	12	8	10	7	3
2	0	6	6	2.16666666666667	1.5	1.5	1.4	1.55555555555556	1	0	0	0	0	0	0	0.225548902195609	6	2	6	5	9	1	2
13	0	6	6	1	0.666666666666667	1.33333333333333	2	-99	1.66666666666667	0	0	0	0	-99	0	0.225548902195609	3	3	3	2	0	3	0
1	0	6	6	2.16666666666667	1.66666666666667	1.8	3	1.66666666666667	1.25	0	0	0	0	0.333333333333333	0	0.225548902195609	6	3	5	1	3	8	0
3	1	6	6	1.75	1	1	-99	-99	-99	0	0	0	-99	-99	-99	-99	4	1	1	0	0	0	-99
6	0	2	3	3	3	3	3	2.25	3	0	0	0	0	0	0	0.225548902195609	1	1	1	1	4	1	0
14	0	2	2	1.5	2.5	1	2.66666666666667	2	1.33333333333333	0	0	0	0.333333333333333	0	0	0.225548902195609	4	2	1	3	1	3	3
10	1	3	4	2	2.5	3	1.42857142857143	1	1	0	0	0	0	0	0	-1.77445109780439	5	2	1	7	1	1	0
8	1	6	6	2.5	2.5	1.77777777777778	2.5	2.33333333333333	2	0	0	0	1	0.666666666666667	1	-0.774451097804391	4	2	9	2	3	1	0
19	0	5	6	2.5	2.5	2	2.75	2.25	1.5	0	0	0	0.5	0	0	0.225548902195609	4	4	3	4	4	2	3
19	0	5	6	2.33333333333333	1.5	1.5	1.5	2	1	0	0	0	0.25	0	0	0.225548902195609	3	6	2	4	1	1	3
9	0	4	2	2.25	3	2	2	1.5	2	0	0	0	0.4	0.25	0.5	0.225548902195609	4	1	7	5	4	2	1
19	0	5	6	3	3	2.16666666666667	3	3	2.33333333333333	0	1	0	0	0	0	-0.774451097804391	1	1	6	1	1	3	0
17	1	5	6	-99	1.5	1	-99	1	1	-99	0	0	-99	0	0	0.225548902195609	0	4	8	0	4	4	1
20	1	3	3	1.5	1.6	1.66666666666667	1.6	2.2	3	0	0	0	0	0	0	0.225548902195609	4	5	3	5	5	2	0
10	1	3	4	3	1.33333333333333	1.5	3	2	3	0	0	0	0	0	0	0.225548902195609	1	3	2	1	1	1	0
4	1	2	2	1.33333333333333	1	1	1	2	2	0	0	0	0	0	0	0.225548902195609	3	2	2	1	3	1	3
